Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
УРАЛЬСКИЙ ДВОР внешнеторговая компания,0,,83512251086,, ,,,454080  Челябинск  Витебская улица  дом 2  210 офис  2 этаж
РБА-Челябинск,0,,83512599056,, ,,,454053  Челябинск  Троицкий тракт  дом 12
БОВИД ТРАК официальный дилер Iveco в г. Челябинске,0,,83512200110,, ,,,454079  Челябинск  Линейная улица  дом 98
ВАРИАТОР-АВТО компания по продаже грузовых автомобилей и спецтехники,0,,83512105626,, ,,,454053  Челябинск  Троицкий тракт  дом 25-и
ПАРТНЕР-АВТО,0,,83512182045,, ,,,454119  Челябинск  улица Машиностроителей  дом 1
ЧЕЛДОРТРАК,0,,83517902722,, ,,,454084  Челябинск  Каслинская улица  дом 54
УРАЛТУРБОСНАБ торговая фирма,0,,83517503970,,uts2011.tiu.ru,,,454082  Челябинск  Троицкий тракт  дом 72-а  2 этаж
КАТАНА автоцентр,0,,83517502423,, ,,,454087  Челябинск  Трактовая улица  дом 30
МАГАЗИН Б/У АВТОЗАПЧАСТЕЙ ДЛЯ ГРУЗОВИКОВ И ПРИЦЕПОВ,0,https://wa.me/79080643521,,79080643521,gruzovik-pricep.tiu.ru,,,454045  Челябинск  Нефтебазовая улица  дом 1
КВИНТА оптовая компания,0,https://wa.me/79517970201,,79517970201, ,,,454084  Челябинск  улица Кирова  дом 7-а
ЮКА компания по продаже запчастей и ремонту,0,,83517001774,, ,http://vk.com/uka_74,,454053  Челябинск  Томинская улица  дом 1  корпус 1
СИСТЕМА объединение производства и комплектации,0,,83512112071,,,,,454007  Челябинск  Артиллерийская улица  дом 134
ПРОМТОРГ торговая компания,0,,83517230197,, ,,,454010  Челябинск  Енисейская улица  дом 31
БЕРГ ХОЛДИНГ торговая компания,0,,83517555351,,www.berg.ru,,,454038  Челябинск  Хлебозаводская улица  дом 34
ВЕКТОР-АВТО,0,https://wa.me/79962323238,,79962323238,vektor-avto74.ru,,,454048  Челябинск  улица Шаумяна  дом 46-а
AVMEX-MOTORS торговая компания,0,,88005559168,,www.avmex-motors.ru,,,454081  Челябинск  улица Северный луч  дом 1  а
БАЗИС,0,,83512112071,,,,,454010  Челябинск  улица Гагарина  дом 9-а
АЛЬФА-МОТОРС торговая компания,0,,83512205434,, ,,,454129  Челябинск  улица Машиностроителей  дом 1  корпус 1
EURORAZBOR.CLUB интернет-магазин контрактных запчастей,0,https://wa.me/79227514871,,79227514871,Eurorazbor.club,,,454036  Челябинск  Новгородская улица  дом 1  г
КИТАЙАВТОЗИП магазин запчастей для HOWO Dongfeng Cummins,0,,83512175015,, ,,,454081  Челябинск  улица Героев Танкограда  дом 83  п/1
АВТОГРАНД НК компания по продаже автомобильных фильтров,0,,83512232484,, ,,,454053  Челябинск  Троицкий тракт  дом 62  к/2
ЭЛ-ТИМ компания по ремонту тягачей и полуприцепов,0,,83512237050,, ,,,454082  Челябинск  Троицкий тракт  дом 72-Б/1
ФМ КОМТРАНС,0,,83517257652,, ,,,"454047  Челябинск  2-я Павелецкая улица  дом 36  завод ""Теплоприбор""  офис 318"
Картель Промснаб,0,,83517737728,, ,,,454077  Челябинск  улица Шишкина  дом 87
СИНЕГОРЬЕ-АВТО,0,,83512820330,,www.sinegor-avto.ru,,,454052  Челябинск  шоссе Металлургов  дом 88
МЕТТЕХСОЮЗ ПКФ,0,,83512610320,, ,,,454048  Челябинск  Гвардейская улица  дом 2
ЧелябТрансСервис,0,,83517917060,,www.tramvaicom.ru,,,454008  Челябинск  Свердловский тракт  дом 33-а
ЧелябТехТранс,0,,83517917060,,,,,
КЛАКСОН автосервис,0,,83517505561,, ,,,454087  Челябинск  улица Кузнецова  дом 49
А-СЕРВИС ДСТ компания,0,https://wa.me/79822704423,,79822704423,,http://vk.com/avangardauto74,,454045  Челябинск  Маслобазовая улица  дом 5/1  10 офис  2 этаж
ПЕРВАЯ ГИЛЬДИЯ+ ремонтная компания,0,,83512694843,,,,,454087  Челябинск  Трактовая улица  дом 30
Сибуртехснаб,0,,83512234823,,bogdan74.ru,,,Челябинск  Новороссийская улица  дом 44
Грузовая техника и спецтехника,0,https://wa.me/79123154104,,79123154104,,,,Челябинск  Троицкий тракт  дом 12/1
ДВИГАТЕЛЬ74 автосервис спецтехники и коммерческого транспорта,0,https://wa.me/79080482437,,79080482437, ,,,454079  Челябинск  улица Самохина  дом 190
Autohome,0,,83512235722,,,,,Челябинск  улица Калинина  дом 10
Нефтекамский завод мобильных зданий,0,,83512009364,,neftzmz.ru,,,Челябинск  улица Дзержинского  дом 93-б
Автобилити,0,https://wa.me/79048121710,,79048121710,autobility.ru,,,Челябинск  улица Труда  дом 187
АЗС ТАТНЕФТЬ,0,,88005555911,,azs.tatneft.ru,,,Челябинск  Уфимский тракт  дом 122/4
АЗС ТАТНЕФТЬ,0,,88005555911,,azs.tatneft.ru,,,454036  Челябинск  Свердловский тракт  дом 6/1
АЗС ТАТНЕФТЬ,0,,88005555911,,azs.tatneft.ru,,,454008  Челябинск  Свердловский тракт  дом 1-б/1
АЗС ТАТНЕФТЬ,0,,88005555911,,azs.tatneft.ru,,,454012  Челябинск  Копейское шоссе  дом 19/2
ATOM OIL,0,https://wa.me/79227435339,,79227435339,,,,454025  Челябинск  Даурская улица  дом 1/1
ATOM OIL,0,https://wa.me/79227435339,,79227435339,,,,454048  Челябинск  Черкасская улица  дом 13
РЕГИОНUNO сеть АЗС,0,,83512140304,, ,http://vk.com/regionazs,,454004  Челябинск  Северная улица  дом 58/1
РЕГИОНUNO сеть АЗС,0,,83512140304,, ,http://vk.com/regionazs,,454053  Челябинск  Троицкий тракт  дом 12/1
РЕГИОНUNO сеть АЗС,0,,83512140304,, ,http://vk.com/regionazs,,454010  Челябинск  Копейское шоссе  дом 56  в
ПРАЙС,0,https://wa.me/79026014918,,79026014918,vk.com/azsprice,http://vk.com/azsprice,,454090  Челябинск  проспект Ленина  дом 26  к ст1
ПРАЙС,0,https://wa.me/79026014918,,79026014918,vk.com/azsprice,http://vk.com/azsprice,,454053  Челябинск  улица Дарвина  дом 2  д
ПРАЙС,0,https://wa.me/79026014918,,79026014918,vk.com/azsprice,http://vk.com/azsprice,,454008  Челябинск  Автодорожная улица  дом 12  Б
ПРАЙС,0,https://wa.me/79026014918,,79026014918,vk.com/azsprice,http://vk.com/azsprice,,454045  Челябинск  Нефтебазовая улица  дом 9  в ст1
ПРАЙС,0,https://wa.me/79026014918,,79026014918,vk.com/azsprice,http://vk.com/azsprice,,Челябинск  улица Героев Танкограда  дом 2-д/1
ПРАЙС,0,https://wa.me/79026014918,,79026014918,vk.com/azsprice,http://vk.com/azsprice,,454902  Челябинск  Центральная улица  дом 3-б/2
ПРАЙС,0,https://wa.me/79026014918,,79026014918,vk.com/azsprice,http://vk.com/azsprice,,454038  Челябинск  шоссе Металлургов  дом 31  п
BNP БАШКИРСКИЕ НЕФТЕПРОДУКТЫ,0,,88003504947,,bnpazs.ru,http://vk.com/azs_bnp,,454048  Челябинск  улица Худякова  дом 12/1
АВТОТАНК-СЕРВИС,0,,88442635105,, ,,,454091  Челябинск  проспект Ленина  дом 21-в
ТПК Эдельвейс,0,,83517777423,,edelves.ru,,,454087  Челябинск  улица Дарвина  дом 14
ИНИТ,0,,83512440774,,www.init-e.ru,,,454014  Челябинск  Солнечная улица  дом 7
СЕРВИС СТРОЙ,0,,83512699735,, ,,,454048  Челябинск  улица Фёдорова  дом 1-а
КЕНТАВР ПКФ,0,,83512727305,, ,,,454085  Челябинск  улица Кулибина  дом 5
ПРОМЭКС-М,0,,83512695106,, ,,,454018  Челябинск  Колхозная улица  дом 52
ЭВЕРЕСТ,0,,83512232575,, ,,,454024  Челябинск  Солнечная улица  дом 7
ПромСтройГруппа,0,,83512544535,,,,,454119  Челябинск  улица Нахимова  дом 2-б
ЦЕТАН,0,,83512544535,,,,,
ЗАВОД НЕФТЕХИМИЧЕСКОГО ОБОРУДОВАНИЯ,0,,83512777440,, ,,,454012  Челябинск  улица Горелова  дом 12
