Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
КАЛИНИНГРАДАВТОТРАНС транспортная компания,0,https://wa.me/79062154545,,79062154545, ,,,236023  Калининград  Броненосная улица  дом 26,,
ВАШ ГРУЗОВИК магазин,0,,84012755515,,,,,236039  Калининград  Туруханская улица  дом 3-а,,
SKF сеть магазинов,0,,84012973500,,,,,236038  Калининград  Шахматная улица  дом 2,,
МИКОН-АВТО компания по продаже и аренде спецавтотехники,0,https://wa.me/79062138363,,79062138363,,,,236001  Калининград  Туруханская улица  дом 1  лит К,,
EMEX центр заказа и выдачи автозапчастей и автоаксессуаров,0,,84012521903,, ,,,236038  Калининград  улица Юрия Гагарина  дом 34,,
МОТОР39 магазин автозапчастей,0,,84012922388,, ,http://vk.com/motor39kaliningrad,,236039  Калининград  Железнодорожная улица  дом 5  г,,
AVTOMOTORS компания,0,https://wa.me/79114590217,,79114590217, ,http://vk.com/club126501453,,236038  Калининград  Стрелецкая улица  дом 8  к2,,
ЦЕНТР КОММЕРЧЕСКОЙ ТЕХНИКИ торгово-сервисная компания,0,,84012523334,, ,,,236039  Калининград  улица Александра Суворова  дом 54  корпус 4,,
АВТОПИТЕР магазин автозапчастей,0,,84012720325,, ,,,236001  Калининград  улица Горького  дом 113-а,,
EAMOTORS39 автомагазин кузовных деталей,0,,84012611800,, ,http://vk.com/eamotors39,,236010  Калининград  проспект Победы  дом 221,,
ФИЛРОСА,0,https://wa.me/79521105611,,79521105611,,,,236035  Калининград  улица Александра Суворова  дом 44,,
TRUCKSELL.RU,0,,84012521522,,trucksell.ru,,,236000  Калининград  улица Генерал-Лейтенанта Озерова  дом 12-16,,
КИТРИ торговая компания,0,,84012453611,, ,,,236001  Калининград  Толбухина улица  дом 22,,
ТОРГОВАЯ КОМПАНИЯ,0,,84012751248,,,,,236001  Калининград  Московский проспект  дом 164-172,,
ЕВРОПАРТ КАЛИНИНГРАД торговая компания,0,,84012386902,, ,,,236034  Калининград  улица Дзержинского  дом 246,,
РЕМКОМТРАНС автосервис,0,,84712710770,, ,,,236038  Калининград  улица Юрия Гагарина  дом 106,,
АВТОАГРЕГАТ торговая компания,0,,84012524948,,www.autoagr.ru,,,236029  Калининград  улица Генерала Челнокова  дом 11  321 офис,,
ДВА КОНТИНЕНТА автомагазин,0,,84012900706,, ,,,236009  Калининград  улица Александра Невского  дом 189,,
АВТОКОМ автосервис грузовых автомобилей,0,,84012903690,, ,,,236038  Калининград  Пригородная улица  дом 20,,
Яркамп,0,,88002502833,, ,,,Калининград  Московский проспект  дом 181,,
TRUCK SERVICE автосервис грузовой техники,0,https://wa.me/79062340733,,79062340733,,http://new.vk.com/autotuning_39,,236001  Калининград  Туруханская улица  дом 1-а  корпус 4,,
CAMPER TRAVEL компания,0,,84012509798,, ,http://vk.com/campertravel39,,236006  Калининград  Октябрьская улица  дом 2,,
PRUSSIA компания по аренде автомобилей,0,https://wa.me/79637386218,,79637386218,prussia-avto.ru,,,236016  Калининград  улица Подполковника Иванникова  дом 8,,
ЛУКОЙЛ,0,,,,,http://vk.com/lukoil,,236013  Калининград  Балтийское шоссе  дом 98,,
ЛУКОЙЛ,0,,84012538207,,lukoil.ru,http://vk.com/lukoil,,236016  Калининград  улица Куйбышева  дом 36,,
ЛУКОЙЛ,0,,84012674506,,lukoil.ru,http://vk.com/lukoil,,236048  Калининград  Московский проспект  дом 373,,
РОС & НЕФТЬ,0,,84012359482,,rn-oil.com,,,236016  Калининград  улица Литовский Вал  дом 9,,
РОС & НЕФТЬ,0,,84012674875,,rn-oil.com,,,236011  Калининград  Автомобильная улица  дом 20,,
РОС & НЕФТЬ,0,,84012311601,,rn-oil.com,,,236001  Калининград  улица Александра Невского  дом 230-а,,
ЕВРО ОЙЛ,0,,84012739152,,,,,236020  Калининград  Мамоновское шоссе  дом 20,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,236008  Калининград  улица Александра Невского  дом 120  л,,
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,236003  Калининград  Московский проспект  дом 180,,
"АГЗС ООО ""АвтоГазСервис""",0,,84012956561,, ,,,236029  Калининград  Старшего Лейтенанта Сибирякова улица  дом 17,,
АЗС № 226,0,,84012954275,,,,,236010  Калининград  Мира проспект  дом 166,,
ЛУКОЙЛ-ИНТЕР-КАРД,0,,84012991245,, ,,,236000  Калининград  Барнаульская улица  дом 2-а,,
АЗС № 19,0,,84012466764,,,,,236006  Калининград  Московский проспект  дом 6-А,,
АЗС № 6,0,,84012326955,, ,,,236029  Калининград  улица Горького  дом 162-б,,
АЗС,0,,84012473074,,,,,236011  Калининград  Полтавская улица  дом 3,,
АЗС № 17,0,,84012461353,,,,,236038  Калининград  Юрия Гагарина улица  дом 112,,
АЗС № 3,0,,84012349500,, ,,,236006  Калининград  Московский проспект  дом 81,,
ВСЕ ДЛЯ АЗС И НЕФТЕБАЗ торговая компания,0,,84012641162,, ,,,236039  Калининград  улица Александра Суворова  дом 41-а  офис 15,,
ИНТЕЛЛЕКТ 4 ДЖИ КАЛИНИНГРАД торгово-производственная компания,0,,84012988050,, ,,,236010  Калининград  улица Дмитрия Донского  дом 24,,
PROFAZS торговая компания,0,,88005118988,,profazs.com,,,236001  Калининград  4-я Большая Окружная улица  дом 35,,
ДЖОКЕРавто,0,,88003016084,,pts.zaimpodolsk.ru,,,236006  Калининград  Московский проспект  дом 40,,
РОСТОВЩИКЪ автоломбард,0,,84012655433,,www.autolombard39.ru,https://vk.com/autolombard39,,Калининград   , ул. Яблочная 3,
АВТОЛОМБАРД №1,0,,84012777116,,www.alombard1.ru,,,236000  Калининград  улица Гайдара  дом 116,,
АВТОЛОМБАРД,0,,84012539336,,,,,236006  Калининград  Мариупольская улица  дом 14  этаж 2  ТЦ СЕДЬМОЙ КОНТИНЕНТ,,
РИВИКА автоломбард,0,,84012329142,, ,http://vk.com/rasprodazha_lombard,,236029  Калининград  улица Горького  дом 117-139,,
ПЕРВЫЙ ГОРОДСКОЙ АВТОЛОМБАРД,0,,84012900199,, ,http://vk.com/rasprodazha_lombard,,236005  Калининград  Киевская улица  дом 159-161,,
ПЕРВЫЙ ГОРОДСКОЙ АВТОЛОМБАРД,0,,84012900299,,citylomb.ru,http://vk.com/rasprodazha_lombard,,236029  Калининград  улица Черняховского  дом 15  вход с ул. Профессора Баранова,,
