Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
АВТОМАГАЗИН  ИП Бастаков А.Н.,0,,84942228643,,,,,156009  Кострома  Льняная улица  дом 4-а,,
ВЕЛЕС 44  оптовая компания,0,,84942433301,, ,,,156001  Кострома  Ярославская улица  дом 24  Б,,
КАМАЗИСТ  магазин,0,https://wa.me/79536473964,,79536473964,,,,156013  Кострома  Галичская улица  дом 148,,
АВТОРАЙ  автосервис,0,https://wa.me/79536435702,,79536435702,,,,156009  Кострома  Профсоюзная улица  дом 3-а,,
АМЕРИКА-АЗИЯ-АВТО  магазин автозапчастей,0,,84942421031,, ,,,156009  Кострома  2-я Волжская улица  дом 13,,
АВТОЗАПЧАСТИ НА СУТЫРИНА,0,https://wa.me/79502439384,,79502439384,,,,156009  Кострома  улица Сутырина  дом 4/1 к2,,
АВТОПАРТНЕР  магазин,0,,84942467714,, ,,,156009  Кострома  2-я Волжская улица  дом 2  Б ст3,,
СПЕЦ-АВТО  магазин автозапчастей для грузовых иномарок,0,,84942300311,, ,,,156019  Кострома  Зелёная улица  дом 10,,
ЯРСКАН  официальный дилер Scania,0,,84942461379,,www.yarscan.ru,,,156019  Кострома  Индустриальная улица  дом 85,,
АВТО-ЕВРО  интернет-магазин,0,,84942770564,, ,,,156009  Кострома  2-я Волжская улица  дом 2-в,,
ТРАК44.РФ  магазин автозапчастей и автотоваров,0,https://wa.me/79159114444,,79159114444, ,,,156009  Кострома  2-я Волжская улица  дом 8/1,,
МАГАЗИН АВТОЗАПЧАСТЕЙ,0,,84942500969,, ,,,156009  Кострома  2-я Волжская улица  дом 2-в,,
ДМИТРОВСКИЙ ЗАВОД АВТОМОБИЛЬНЫХ ФИЛЬТРОВ,0,,84996491050,,www.dzaf.ru,,,156007  Кострома  улица Пушкина  дом 43/102,,
AUTOSTOCK44,0,,84942466611,, ,http://vk.com/autostock44,,156019  Кострома  Дёминская улица  дом 13,,
ЭКСПРЕСС-ЗАКАЗ  торговая фирма,0,,84942360130,, ,,,156016  Кострома  Профсоюзная улица  дом 16,,
ДЖАПРА  торговая компания,0,https://wa.me/79039314400,,79039314400,www.japra.ru,,,156009  Кострома  2-я Волжская улица  дом 7,,
КАМАЗУТРА  магазин автозапчастей,0,,84942466499,, ,,,156019  Кострома  Станкостроительная улица  дом 3,,
ЯрКамп,0,,88001006888,,yarkamp.ru,,,Кострома  Ярославская улица  дом 39,,
ПРОФИКС,0,https://wa.me/79536581916,,79536581916,,,,156019  Кострома  Индустриальная улица  дом 54,,
ПРОФИКС,0,https://wa.me/79536581916,,79536581916,,,,156004  Кострома  Береговая  дом 47,,
