Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
СЛУЖБА МЕХАНИЗАЦИИ И АВТОТРАНСПОРТА,0,,88312463477,, ,,,603086  Нижний Новгород  бульвар Мира  дом 23,,
АВТОБАЗА,0,,88314362153,, ,,,603024  Нижний Новгород  улица Тургенева  дом 3,,
БАС СЕЛЕКТ  компания,0,,88312341414,,bus-select.ru,,,603141  Нижний Новгород  улица Геологов  дом 1  лит К,,
ДЕТСКИЙ АВТОБУС,0,,88005114084,,,,,603141  Нижний Новгород  улица Геологов  дом 1  лит К,,
NEXT  автосалон коммерческого транспорта,0,,88314138887,, ,,,603092  Нижний Новгород  Московское шоссе  дом 356,,
РУСБИЗНЕСАВТО,0,,88312723828,, ,,,603079  Нижний Новгород  Московское шоссе  дом 105,,
ТРАНСПОРТНЫЕ СИСТЕМЫ,0,https://wa.me/79033379238,,79033379238, ,,,603034  Нижний Новгород  Удмуртская улица  дом 4-в,,
ИТР-ГРУПП,0,,88314652512,, ,,,603016  Нижний Новгород  улица Юлиуса Фучика  дом 100,,
НИЖЕГОРОДСКИЙ АВТОБУС,0,,88314155818,, ,,,603050  Нижний Новгород  улица Новикова-Прибоя  дом 6-а,,
ВОЛГОПРОМЛИЗИНГ,0,https://wa.me/79200272772,,79200272772,www.vpl.ru,,,603163  Нижний Новгород  Казанское шоссе  дом 10  корпус 3,,
ЛИТЕР,0,,88312692002,, ,,,603069  Нижний Новгород  Ореховская улица  дом 80/11,,
БОГДАН,0,,88314198492,, ,,,603006  Нижний Новгород  Грузинская улица  дом 37-а,,
АВТОВЕК  автосалон,0,,88312578239,, ,,,603034  Нижний Новгород  Комсомольское шоссе  дом 2-а  2-й эт.,,
РУССКИЙ АВТОБУС,0,,88314661237,, ,,,603152  Нижний Новгород  поселок Приокский  Полевая улица  дом 8,,
ИННОВАЦИОННЫЕ ТЕХНОЛОГИИ,0,,88314669700,, ,,,603141  Нижний Новгород  улица Шапошникова  дом 13,,
КИНГ ЛОНГ,0,,88312129982,, ,,,603152  Нижний Новгород  улица Ларина  дом 13-б,,
АВТОСПЕЦМАШ,0,,88001009763,, ,,,603028  Нижний Новгород  Московское шоссе  дом 52  2-й эт.,,
ВЕРК  завод серийных автомобилей,0,,88312830161,, ,,,603124  Нижний Новгород  улица Вторчермета  дом 1,,
НИЖЕГОРОДСКИЕ АВТОМОБИЛИ  торговая компания,0,,88312697944,, ,,,603043  Нижний Новгород  Героя Поющева улица  дом 22/1  офис 303 ,,
ЦЕНТР АВТОРАЗБОРА ГРУЗОВЫХ АВТОМОБИЛЕЙ  ИП Чернышев Р.А.,0,https://wa.me/79103980818,,79103980818, ,,,603037  Нижний Новгород  улица Федосеенко  дом 58  корпус 3,,
НИЖБЕЛ,0,,88312200512,, ,,,603043  Нижний Новгород  улица Поющева  дом 16-в,,
ЭВЕР,0,https://wa.me/79503530977,,79503530977, ,,,603093  Нижний Новгород  Яблоневая улица  дом 26,,
Чусовской металлургический завод,0,https://wa.me/79867250040,,79867250040,auto.market.omk.ru,http://vk.com/omk_chusovoy,,603035  Нижний Новгород  улица Чаадаева  дом 1-и,,
АВТОБИС,0,,88312414549,, ,,,603116  Нижний Новгород  Гордеевская улица  дом 59-а,,
РАНПЛАСТ  торгово-производственная компания,0,https://wa.me/79200636796,,79200636796, ,,,603092  Нижний Новгород  Московское шоссе  дом 352-а,,
КАМАВТОЦЕНТР  торговая компания запчастей,0,,88312601300,,www.kac-msk.ru,,,603141  Нижний Новгород  улица Геологов  дом 2-Б,,
АВТОПАРТНЕР  магазин автозапчастей,0,https://wa.me/79873904624,,79873904624,,,,603152  Нижний Новгород  улица Ларина  дом 13,,
САТИС АВТО  многопрофильная компания,0,,88312622330,,,,,603034  Нижний Новгород  Шлиссельбургская улица  дом 28,,
АВТОКОМ-РАДИЙ,0,,88314351035,,avkr.ru,,,603004  Нижний Новгород  проспект Ленина  дом 109,,
NOMER52.RU  автоцентр,0,,88002002554,, ,,,603108  Нижний Новгород  Кузбасская улица  дом 15-а,,
ОПТОВО-РОЗНИЧНАЯ ФИРМА ЗАПЧАСТЕЙ ДЛЯ КИТАЙСКИХ МОТОРОВ,0,https://wa.me/79036051968,,79036051968, ,,,603108  Нижний Новгород  Ракетная улица  дом 9-Б,,
ЕВРОАВТОДОМ  магазин автозапчастей,0,https://wa.me/79030441212,,79030441212, ,,,603152  Нижний Новгород  улица Ларина  дом 15,,
ВЕРК,0,,88007073229,,werk-bus.ru,,,603092  Нижний Новгород  Московское шоссе  дом 352-а  корпус 4,,
АВТОБАЙК  автосервис,0,,88312912193,, ,http://vk.com/avtobike,,603136  Нижний Новгород  улица Академика Сахарова  дом 3  Б,,
АВТОПАЗЛ  магазин запчастей для грузовых автомобилей,0,,88314290523,, ,,,603034  Нижний Новгород  Алма-Атинская улица  дом 15,,
АВТО-ЛАЙФ  автосервис,0,https://wa.me/79108885515,,79108885515,,,,603064  Нижний Новгород  проспект Ленина  дом 84  д,,
ЛУИДОР  производственно-коммерческая фирма,0,,,,,,,,,
