Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
"ПРАЦ-ЗАПЧАСТИ, центр автозапчастей",000000000,,84855228979,,,,,Ярославская область  Рыбинск  Большая Тоговщинская улица  дом 5
"СТИМУЛ, магазин автозапчастей для грузовых автомобилей",000000000,,84855262444,,,,,Ярославская область  Рыбинск  Софьи Перовской улица  дом 4  а
"PIT STOP, автоцентр",000000000,,84855327878,,pit-stop-auto.ru,http://vk.com/pit_stop_rubinsk,,Ярославская область  Рыбинск  проспект Революции  дом 9
"АСТА, торговая компания",000000000,,84855327978,, ,,,Ярославская область  Рыбинск  Железнодорожная улица  дом 28
"ЕВРОТРАК, магазин автозапчастей",000000000,,84855237260,,eurotruck-76.blizko.ru,,,Ярославская область  Рыбинск  Ярославский тракт  дом 72
"МЕХАНИК, магазин автозапчастей",000000000,,84855254837,, ,,,Ярославская область  Рыбинск  Большая Тоговщинская улица  дом 9  а
ЛУКОЙЛ,000000000,,88001000911,,lukoil.ru,,,Ярославская область  Рыбинск  проспект Революции  дом 1  а
ЛУКОЙЛ,000000000,,88001000911,,lukoil.ru,,,Ярославская область  Рыбинск  улица Суворова  дом 10  а
ЛУКОЙЛ,000000000,,88001000911,,lukoil.ru,http://vk.com/lukoil,,Ярославская область  Рыбинск  Окружная дорога  дом 89
"ЕВРО СЕРВИС, установочный центр",000000000,https://wa.me/79611593399,,79611593399, ,http://vk.com/centrrbauto,,Ярославская область  Рыбинск  улица Чкалова  дом 92
Центр,000000000,https://wa.me/79201270127,,79201270127,,,,Ярославская область  Рыбинск  улица Чкалова  дом 92
"ШИНСЕРВИС, сеть шинных центров",000000000,,84855239052,, ,http://vk.com/shinserviceru,,Ярославская область  Рыбинск  9 Мая улица  дом 53  а
"КАСКО-ЭКСПЕРТ, экспертная компания",000000000,,84855220516,, ,,,Ярославская область  Рыбинск  Карякинская улица  дом 3
ШИНОМОНТАЖНАЯ МАСТЕРСКАЯ,000000000,https://wa.me/79159800245,,79159800245,,,,Ярославская область  Рыбинск  улица Димитрова  дом 1  а
Рыбинское ПАТП-3,000000000,,84855215007,, ,,,152912  Ярославская область  Рыбинск  улица Танкистов  дом 15
Детский магазин Кидсмаркет,000000000,https://wa.me/79807481211,,79807481211,kidzmarket.ru,,,Ярославская область  Рыбинск  Моторостроителей улица  дом 7-а
"ЦЕНТР ЛОКАЛЬНОГО РЕМОНТА, автомастерская",000000000,https://wa.me/79605273838,,79605273838, ,http://vk.com/centrlocalnogoremontaynagusa7,,Ярославская область  Рыбинск  улица Яна Гуса  дом 9
Альфа-авто,000000000,,84855267638,,alfaauto76.ru,http://vk.com/avtotok76rus  http://vk.com/club46523086,,Ярославская область  Рыбинск  Тарасова улица  дом 4
Автотехцентр Звезда,000000000,https://wa.me/79301216163,,79301216163,,http://vk.com/svavto89201334049,,Ярославская область  Рыбинск  Железнодорожная улица  дом 33
"МОЙДОДЫР, автомойка",000000000,,84855552992,, ,,,Ярославская область  Рыбинск  проспект Революции  дом 7
АВТОМОЙКА,000000000,https://wa.me/79159990555,,79159990555,,,,Ярославская область  Рыбинск  Ярославский тракт  дом 96  а
АВТОМОЙКА,000000000,https://wa.me/79611541892,,79611541892,vk.com/club186456836,http://vk.com/club186456836,,Ярославская область  Рыбинск  Южная улица  дом 2  а
АВТОМОЙКА,000000000,https://wa.me/79023321961,,79023321961,,,,Ярославская область  Рыбинск  Румянцевская улица  дом 53
АВТОМОЙКА,000000000,https://wa.me/79109673158,,79109673158,,,,Ярославская область  Рыбинск  улица Блюхера  дом 1
"АРАРАТ, автосервис",000000000,https://wa.me/79036380303,,79036380303,,,,Ярославская область  Рыбинск  улица Сакко и Ванцетти  дом 18  Б
"АВТОСТИЛЬ, автосервис",000000000,https://wa.me/79611616565,,79611616565,vk.com/aqua333238,http://vk.com/aqua333238,,Ярославская область  Рыбинск  1-я Выборгская улица  дом 74/1
"VIKONDA, автомойка",000000000,,84855238815,,vikonda.ru,,,Ярославская область  Рыбинск  улица Бабушкина  дом 29/2
ВОДОЛЕЙ,000000000,https://wa.me/79056463343,,79056463343,,,,Ярославская область  Рыбинск  улица Степана Разина  дом 40
"АВТО-М, автомойка",000000000,https://wa.me/79301011131,,79301011131,,,,Ярославская область  Рыбинск  улица Труда  дом 97  а ст1
"МОЙ САМ, сеть автомоек самообслуживания",000000000,,84956644199,,xn----8sbzldix.xn--p1ai,http://vk.com/clubmoucam,,Ярославская область  Рыбинск  улица Суркова  дом 2  а
Автосервис Автореал,000000000,https://wa.me/79159869262,,79159869262,,,,Ярославская область  Рыбинск  Железнодорожная улица  дом 33
Автомойка На Герцена 5,000000000,https://wa.me/79159871411,,79159871411,,http://new.vk.com/club84912777,,152934  Ярославская область  Рыбинск  улица Герцена  дом 5-А
Автотехцентр Звезда,000000000,https://wa.me/79301216163,,79301216163,,http://vk.com/svavto89201334049,,Ярославская область  Рыбинск  Железнодорожная улица  дом 33
Автостудия Муравей,000000000,https://wa.me/79201077050,,79201077050, ,http://vk.com/svavto89201334049,,Ярославская область  Рыбинск  Орджоникидзе улица  дом 35
Автомойка На Софийской,000000000,https://wa.me/79201215155,,79201215155,new.vk.com,http://new.vk.com/club84912777,,152919  Ярославская область  Рыбинск  Софийская улица  дом 57
Шинный Автоцентр Pit Stop,000000000,,84855299924,,pitstop.rybn.ru,,,Ярославская область  Рыбинск  проспект Революции  дом 9
"ВОЛЬТAUTO, ремонтная мастерская",000000000,https://wa.me/79023311278,,79023311278, ,,,Ярославская область  Рыбинск  улица Танкистов  дом 8
Ховер Авто,000000000,,88002003380,,hoveravto.ru,,,Ярославская область  Рыбинск  улица Куйбышева  дом 53
Автоюрист Рыбинск,000000000,https://wa.me/79201131617,,79201131617,omegazentr.ucoz.ru,,,Ярославская область  Рыбинск  улица Чкалова  дом 34
ЭкспертAssist,000000000,,84855220000,, ,,,Ярославская область  Рыбинск  Карякинская улица  дом 88
"ИП Зайцев А.П. Оценка, независимая экспертиза",000000000,https://wa.me/79301192131,,79301192131,,,,Ярославская область  Рыбинск  Моторостроителей улица  дом 21
Независимость,000000000,,84855299295,,ocenka76.rybn.ru,,,Ярославская область  Рыбинск  улица Ломоносова  дом 17-а
"ЛЕГИОН, автосалон",000000000,,84855550007,, ,http://vk.com/legionauto76,,Ярославская область  Рыбинск  9 Мая улица  дом 21  а
Норд-Сервис Ойл,000000000,,84855250770,, ,,,152908  Ярославская область  Рыбинск  Нобелевская улица  дом 67
Автопрокат Carvill,000000000,https://wa.me/79159948855,,79159948855, ,,,Ярославская область  Рыбинск  улица Чкалова  дом 64
"Ваш Праздник, свадебный салон",000000000,https://wa.me/79201031899,,79201031899,свадьба-рыбинск.рф,,,Ярославская область  Рыбинск  Пассажирская улица  дом 1
КруизТрансГруп,000000000,https://wa.me/79301152227,,79301152227, ,,,Ярославская область  Рыбинск  улица Максима Горького  дом 1
Такси На Дубровку,000000000,,84855222333,,,,,152908  Ярославская область  Рыбинск  Ярославский тракт  дом 94
