Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
СКАТ-ПЛЮС,000000000,,88122954593,, ,,,194100  Санкт-Петербург  Новолитовская улица  дом 12
ПЕТРО ПАЗ,000000000,,88123187006,, ,,,"196084  Санкт-Петербург  улица Коли Томчака  дом 28  корпус 1  БЦ ""Гепард"""
ЯРКАМП-ПИТЕР,000000000,,88123092833,, ,,,188681  Ленинградская область  Всеволожский район  деревня Новосаратовка  Покровская дорога  дом 3
СТОРК,000000000,,88003332808,, ,,,190013  Санкт-Петербург  Можайская улица  дом 2
СКАТ-АВТО,000000000,,88122952627,, ,,,194100  Санкт-Петербург  Новолитовская улица  дом 12
ГОЛДЕН ДРАГОН БАС,000000000,,88129110171,,goldendragonbus.ru,,,199106  Санкт-Петербург  22-я линия  дом 3  корпус 1
"НЕОПЛАН ПЕТЕРБУРГ, торговая компания",000000000,,88129571446,, ,,,194356  Санкт-Петербург  Выборгское шоссе  дом 34
СКАТ-ПЛЮС,000000000,,88122954593,, ,,,194100  Санкт-Петербург  Новолитовская улица  дом 12
RE:BUS,000000000,,88126220946,, ,,,195253  Санкт-Петербург  шоссе Революции  дом 58-а
"KATI COMPANY, производственно-торговая компания",000000000,,88129292273,, ,,,194292  Санкт-Петербург  Домостроительная улица  дом 3-д
ДИЗЕЛЬ,000000000,,88002502852,, ,,,Санкт-Петербург
SCANNUM.RU,000000000,,88126776012,, ,,,196627  Санкт-Петербург  Московское шоссе  дом 289  строение 1
Prostoo,000000000,https://wa.me/79216366110,,79216366110,prostoospb.ru,,,196128  Санкт-Петербург  Варшавская улица  дом 5-а  литера О
АРКАТ,000000000,,88003503893,, ,https://vk.com/arkatllc,,191104  Санкт-Петербург  улица Короленко  дом 7  офис 2
СПЕЦГАЗ,000000000,,88124954243,,rosspecgaz.ru,,,194292  Санкт-Петербург  Парнас  6-й Верхний переулок  дом 12-а  офис 405
ЕВРОПЕЙСКИЙ ЭКСПРЕСС КРЕДИТ,000000000,,88003335764,,euroexpresscredit.ru,https://vk.com/euroexpresscredit,,"194100  Санкт-Петербург  Новолитовская улица  дом 15-б  МЦ ""Аквилон"""
ЮЖНЫЙ АВТОМОБИЛЬНЫЙ ЛОМБАРД,000000000,,88126467878,, ,,,198330  Санкт-Петербург  Ленинский проспект  дом 91-А
ПЕТЕРБУРГСКИЙ АВТОЛОМБАРД,000000000,https://wa.me/79119220462,,79119220462, ,,,198095  Санкт-Петербург  площадь Стачек  дом 4
"ПТС, автоломбард",000000000,,88005518590,,pts-avtolombard.ru,https://vk.com/pts.avtolombard,,192019  Санкт-Петербург  улица Седова  дом 12  БЦ «Т4»  1-й этаж  офис 105
ПРАЙД,000000000,https://wa.me/79533691015,,79533691015,avtolombardpride.ru,,,"198152  Санкт-Петербург  Краснопутиловская улица  дом 69  БЦ ""Цитадель"""
ZAIM-ZALOG,000000000,,88003018945,,zaim-zalog.ru,,,"194291  Санкт-Петербург  проспект Культуры  дом 1  ТРК ""Родео драйв"""
TimeCars,000000000,https://wa.me/79218089999,,79218089999,skupkaauto78.ru,,,198216  Санкт-Петербург  проспект Народного Ополчения  дом 10
Автозалог Кредит,000000000,,88005559957,,avtozalog-kredit.com,http://vk.com/avtozalogkredit,,192102  Санкт-Петербург  Бухарестская улица  дом 30
ДСГСЕРВИС СПб,000000000,https://wa.me/79218968788,,79218968788,www.dsgservis-spb.ru,http://vk.com/avtoremont_2015  http://vk.com/club97940168,,198205  Санкт-Петербург  Таллинское шоссе  дом 153  корпус 2  литера И
КАРДАНРЕМОНТ,000000000,,88007757871,, ,,,198095  Санкт-Петербург  улица Маршала Говорова  дом 42
МАСТЕРСКАЯ МАХИНА,000000000,https://wa.me/79213271737,,79213271737,korobki-avtomat.ru,,,199155  Санкт-Петербург  Уральская улица  дом 21
Доктор АКПП,000000000,https://wa.me/79219869875,,79219869875,www.doctorakpp.ru,http://vk.com/avtoremont_2015  http://vk.com/club97940168,,192007  Санкт-Петербург  Расстанный переулок  дом 4
АКПП ГУРУ,000000000,,88129042403,,guruakpp.ru,,,198152  Санкт-Петербург  Краснопутиловская улица  дом 65
ЦЕНТР ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ ГРУЗОВИКОВ И ПРИЦЕПОВ,000000000,https://wa.me/79112740579,,79112740579, ,,,188506  Ленинградская область  Ломоносовский район  поселок Малое Карлино  Пушкинское шоссе  дом 46
1ФОРМУЛА,000000000,https://wa.me/79219098949,,79219098949,,https://vk.com/auto314,,197372  Санкт-Петербург  Планерная улица  дом 15-д
Motul team,000000000,,88129606050,,www.drive2.ru,,,195213  Санкт-Петербург  улица Ванеева  дом 10
BatAuto,000000000,,88129606050,,,,,193318  Санкт-Петербург  улица Латышских Стрелков  дом 19
"ПОЗИТРОНИКА, интернет-магазин бытовой техники и электроники",000000000,,88129353749,,kronshtadt.positronica.ru,,,Санкт-Петербург  проспект Ленина  дом 13  430 секция  4 этаж  центр Дом бытовых услуг
ROMER-SPb,000000000,,88126409314,,www.romer-spb.ru,,,197342  Санкт-Петербург  Минеральная улица  дом 13  литера А
ЛЕГИОН АВТО,000000000,,88127159920,,legion-avto.info,,,Санкт-Петербург  Левашовское шоссе  дом 6
CYBEX-SPb,000000000,,88127481881,,www.cybex-spb.ru,,,195197  Санкт-Петербург  Минеральная улица  дом 13-а
АВТОЗАПЧАСТИ,000000000,,88127481881,, ,,manager.audi-fix@mail.ru,196105  Санкт-Петербург  Кузнецовская улица  дом 38
JS-SERVICE,000000000,,88127481881,,,https://vk.com/jsservice  http://vk.com/club130747079,,
РД,000000000,,88127481881,, ,https://vk.com/rdgroupltd,info@rdgroupltd.com,"190020  Санкт-Петербург  Промышленная улица  дом 19  литера Р  БЦ ""Редуктор""  офис 336"
БитКар,000000000,https://wa.me/79118391059,,79118391059,bitcar.spb.ru,,,195279  Санкт-Петербург  Индустриальный проспект  дом 44  корпус 2
ChestVikup,000000000,https://wa.me/79218888700,,79218888700, ,,,195213  Санкт-Петербург  улица Ванеева  дом 10
ТехноЛайн,000000000,,88129112304,,skupkaavtomobilej.ru,,,197110  Санкт-Петербург  Пионерская улица  дом 32
АВТО ВЫКУП,000000000,,88129277087,,vikupauto-24.ru,,,198152  Санкт-Петербург  Краснопутиловская улица  дом 44-а
ВЫКУП78,000000000,https://wa.me/79052677057,,79052677057,vykup78.site,,,196601  Санкт-Петербург  Старогатчинское шоссе  дом 20
Lion-Motors,000000000,,88123366380,,avtovikup24.com,,,"195213  Санкт-Петербург  Заневский проспект  дом 67  корпус 2  ТРК ""Заневский каскад"""
AVTOSALE,000000000,,88129098885,, ,,,195248  Санкт-Петербург  Бокситогорская улица  дом 13-а
АВТОЗАПЧАСТИ,000000000,,88129098885,, ,,manager.audi-fix@mail.ru,196105  Санкт-Петербург  Кузнецовская улица  дом 38
Planar- Russia,000000000,,88003022321,,sankt-peterburg.planar-russia.ru,,,191186  Санкт-Петербург  Казанская улица  дом 7-в
БЮРО,000000000,,88003022321,, ,,ooobek1@yandex.ru,199178  Санкт-Петербург  набережная реки Смоленки  дом 33  офис 21
ГАРАНТИЯ,000000000,,88003022321,, ,,ofgarantiya@mail.ru,194017  Санкт-Петербург  проспект Тореза  дом 98  корпус 1  офис 101
ПОДБЕРЕМАВТО,000000000,,88123181981,,www.подберемавто.рф,,,"192148  Санкт-Петербург  улица Седова  дом 13  БЦ ""Седов""  офис 436"
CARTRY.RU,000000000,,88126282230,,cartry.ru,,,197183  Санкт-Петербург  улица Савушкина  дом 1/2  литера А
ГИЛЬДИЯ,000000000,,88124084536,,,,,195112  Санкт-Петербург  Новочеркасский проспект  дом 39
"ЛАТ, федеральный экспертный центр",000000000,,88124267626,,независимая-экспертиза-лат.рф,,,191144  Санкт-Петербург  улица Моисеенко  дом 22-а
ПЕТЕРБУРГСКИЕ АВТОЭКСПЕРТЫ,000000000,,88124094200,,петербургские-автоэксперты.рф,,,194100  Санкт-Петербург  Кантемировская улица  дом 20
AKUBA PARTNERS,000000000,,88124243475,, ,,,197198  Санкт-Петербург  Пионерская улица  дом 1
Авточехлы,000000000,,88124160016,,,,,194358  Санкт-Петербург  улица Композиторов  дом 28
АВТОЦЕНТР ВИТЕБСКИЙ,000000000,,88127775555,,www.skoda-vitebskiy.ru,,,196105  Санкт-Петербург  Витебский проспект  дом 17  корпус 6
Ир-Авто,000000000,https://wa.me/79052231101,,79052231101, ,https://vk.com/ir_avto  http://vk.com/kia_maximum,,195248  Санкт-Петербург  Ириновский проспект  дом 1  литера С
AAAuto,000000000,,88126287878,,vk.com/aaavtospb,http://vk.com/aaavtospb,,197374  Санкт-Петербург  улица Савушкина  дом 106
ФОРД МОТОР КОМПАНИ,000000000,,88123467111,, ,,,"188676  Ленинградская область  Всеволожск  промзона ""Кирпичный завод"""
ХЕНДЭ МОТОР МАНУФАКТУРИНГ РУС,000000000,,88124180100,, ,,,Санкт-Петербург  Сестрорецк  Левашовское шоссе  дом 20-А
АВТОБУСЫ,000000000,,88124180100,, ,https://vk.com/bus4u,bus4u@mail.ru,"191119  Санкт-Петербург  Лиговский проспект  дом 111-113-115  литера В  офис 35  бизнес-центр ""Стрела"""
