Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
НОВГОРОДПАРТССИСТЕМ  магазин автозапчастей для грузовых иномарок,0,,88162603254,, ,,,173008  Великий Новгород  Рабочая улица  дом 27  а
ЦЕНТР ЗАПЧАСТЕЙ  магазин,0,,88162903204,, ,,,173008  Великий Новгород  Рабочая улица  дом 6  корпус 1
МАГАЗИН АВТОЗАПЧАСТЕЙ ДЛЯ ЕВРОПЕЙСКИХ И АМЕРИКАНСКИХ ГРУЗОВИКОВ  ИП Агапова А.А.,0,,88162787853,, ,,,173008  Великий Новгород  Рабочая улица  дом 44
ГРУЗОВОЙ  магазин автозапчастей для европейских грузовиков,0,,88162700525,, ,,,173008  Великий Новгород  Рабочая улица  дом 48
ИМПЕРИЯ МАСЕЛ  автосервис замены масел,0,,88162555404,, ,http://vk.com/imperiamaselvn,,173018  Новгородская область  Новгородский район  деревня Григорово  Большая улица  дом 4
ТЕХНОСТИМУЛ  интернет-магазин,0,,88002014670,,texnostimul.ru,,,173004  Великий Новгород  улица Панкратова  дом 43
ЕВРО ТРАК  магазин автозапчастей,0,,88162901032,, ,,,173008  Великий Новгород  Рабочая улица  дом 36
YULSUN  магазин автозапчастей,0,,88162604500,,YULSUN.RU,http://vk.com/yulsun53,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 46
КАМПСПАРТС  торговая компания,0,https://wa.me/79217070067,,79217070067,novgorod.camsparts.ru,,,173008  Великий Новгород  Рабочая улица  дом 6
АВТОПЛЮС,0,,88162500700,, ,,,173003  Великий Новгород  Базовый переулок  дом 6
КНР АВТО  магазин автозапчастей для китайских грузовых автомобилей,0,,88162558901,, ,,,173008  Великий Новгород  Сырковское шоссе  дом 28
ТРАК ЦЕНТР  автомастерская,0,https://wa.me/79646943374,,79646943374,,,,173008  Великий Новгород  проезд Энергетиков  дом 10
ТОРОПИН-ВН  торговая компания,0,,88162961201,, ,http://vk.com/autohelpvn,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 173
АГРОКОМ  оптово-розничная компания,0,https://wa.me/79307167844,,79307167844,novgorod.avtogruztrans.ru,,,173015  Великий Новгород  Псковская улица  дом 24
АВТО HELP  магазин,0,,88162689060,,vk.com/autohelpvn,http://vk.com/autohelpvn,,173015  Великий Новгород  Завокзальная улица  дом 3
ALEXAUTO,0,https://wa.me/79052908390,,79052908390, ,http://vk.com/autohelpvn,,173008  Великий Новгород  Рабочая улица  дом 6
АВТОАЛЬЯНС  компания,0,,88162641666,, ,,,173008  Великий Новгород  Рабочая улица  дом 33
Яркамп,0,,88162700282,, ,,,Великий Новгород  Нехинская улица  дом 1
SHELL,0,https://wa.me/79116083129,,79116083129,www.shell.com.ru,,,173008  Великий Новгород  Лужское шоссе  дом 3
SHELL,0,https://wa.me/79116083551,,79116083551,www.shell.com.ru,,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 160
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,173008  Великий Новгород  улица Радищева  дом 2-а
ГАЗПРОМНЕФТЬ,0,,88007005151,,opti-24.com,http://vk.com/gpnbonus,,173007  Великий Новгород  Орловская улица  дом 42
ГАЗПРОМ  сеть АГНКС,0,,88005051055,,gazprom-agnks.ru,,,173008  Великий Новгород  Сырковское шоссе  дом 72
АГЗС,0,https://wa.me/79211959028,,79211959028,,,,173021  Новгородская область  Новгородский район  деревня Новая Мельница  улица Новосёлов  дом 17
АЛЬТАИР  АЗС,0,,88166861583,,,,,174760  Новгородская область  Любытино  Базарная улица  дом 13
НОВГОРОДНЕФТЕПРОДУКТ  АЗС № 4,0,,88162749148,,,,,173510  Новгородская область  Новгородский район  село Бронница  Бронницкая улица
АМБЕР  ТФ  АГЗС,0,https://wa.me/79217317409,,79217317409,,,,173020  Великий Новгород  Якова Павлова улица  дом 2
ГАЗПРОМНЕФТЬ-СЕВЕРО-ЗАПАД  АГНКС № 2,0,,,,,,,173020  Новгородская область  Новгородский район  деревня Новая Деревня  переулок Пригородный  дом 9-А
ДЕРЖАВИНА  АЗС № 252,0,,88162671158,, ,,,173020  Великий Новгород  Державина улица  дом 7
НОВГАЗАВТО  АЗС,0,,88162625530,,,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 41  корпус 7
ВОЛГА-НЕФТЕПРОДУКТ  АЗС,0,,88162644774,, ,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 173
ВИКТОРИЯ  АЗС,0,,88166321397,,,,,175350  Новгородская область  Марево  Комсомольская улица  дом 2
ПТК-СЕРВИС НОВГОРОД  АЗС 254,0,,88162338248,, ,,,173018  Великий Новгород  проспект Александра Корсунова  дом 38-А
ТИТАН СН,0,,88162338248,,,,,
NESTE,0,,88162644315,,www.nesteoil.ru,,,173008  Великий Новгород  Большая Санкт-Петербургская улица  дом 126
АДАСТ  сервисная фирма,0,,88162642347,, ,,,173003  Великий Новгород  Большая Санкт-Петербургская улица  дом 173
КОНТИКЕ  производственное предприятие,0,,88162700103,,novmetal.ru,,,173008  Великий Новгород  Рабочая улица  дом 41
НОВТРАСТ  автоломбард,0,https://wa.me/79116436780,,79116436780,новтраст.рф,,,173018  Великий Новгород  проспект Александра Корсунова  дом 38  корпус 7
AUTO TONER  студия тонирования,0,,88162559988,, ,http://vk.com/autotoner53,,173008  Великий Новгород  улица Радищева  дом 5
AUTO TONER  студия тонирования,0,,88162559988,, ,http://vk.com/autotoner53,,173020  Новгородская область  Новгородский район  поселок Волховец  Пионерская улица  дом 26/2
GREAT WALL  автосалон,0,,88162500525,,,,,173008  Великий Новгород  Северная улица  дом 2
SUNRISE,0,,88162998699,,sunrise-vn.a5.ru,,,173008  Великий Новгород  Сырковское шоссе  дом 30
