Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
Воркута Автопрокат,000000000,https://wa.me/79042721111,,79042721111,avtoprokat11.ru,,,Республика Коми  Воркута  улица Ленина  дом 64
ВайТел,000000000,,88215131411,,,,,Республика Коми  Воркута  улица Ленина  дом 48-б
"Северсталь Воркутауголь Воркутинское транспортное предприятие, структурное подразделение",000000000,,88215153090,,,,,169900  Республика Коми  Воркута  улица Ленина  дом 62
"Транзит, транспортная компания",000000000,https://wa.me/79121190221,,79121190221,tranzit-komi.ru,,,Республика Коми  Воркута  улица Ленина  дом 58-в
Стройтранссевер,000000000,https://wa.me/79121786555,,79121786555,stroytranssever.ru,,,Республика Коми  Воркута  улица Ленина  дом 35
"Next Воркута, газель",000000000,https://wa.me/79125049000,,79125049000,next-gruz.ru,,,Республика Коми  Воркута  улица Ленина  дом 32-а
"Витязь, автошкола",000000000,,88215172020,,vitaz.ucoz.com,,,Республика Коми  Воркута  улица Ленина  дом 4-а
Вираж Автошкола,000000000,,88215134400,,,,,169900  Республика Коми  Воркута  улица Ленина  дом 32-а
"Ломбард-поиск, ломбард",000000000,,88215157451,,,,,169900  Республика Коми  Воркута  улица Ленина  дом 34
Диваны в Воркуте,000000000,https://wa.me/79087184495,,79087184495, ,http://vk.com/mebelchik_vorkuta,,Республика Коми  Воркута  Центральная площадь  дом 1
"Мир ключей, мастерская",000000000,https://wa.me/79125030303,,79125030303,worldkey11.ru,,,Республика Коми  Воркута  улица Ленина  дом 29
Ариель Плюс,000000000,https://wa.me/79121790021,,79121790021,vk.com/public54788700,http://vk.com/public54788700,,Республика Коми  Воркута  улица Ленина  дом 37-а
"Черевички, обувная мастерская",000000000,,88215133332,,,,,Республика Коми  Воркута  улица Ленина  дом 32-а
СеверМонтажПлюс,000000000,,88215163233,,vk.com/club64719488,http://vk.com/club64719488,,Республика Коми  Воркута  улица Ленина  дом 64
"Фокус, фотостудия",000000000,https://wa.me/79121074444,,79121074444,,,,Республика Коми  Воркута  улица Ленина  дом 32
Express Фото,000000000,https://wa.me/79121239351,,79121239351,vk.com/case09,http://vk.com/case09,,Республика Коми  Воркута  улица Ленина  дом 70
"Головкевич, ип",000000000,,88215133686,,,,,Республика Коми  Воркута  улица Ленина  дом 38
Print-Vorkuta.ru,000000000,https://wa.me/79222796614,,79222796614,print-vorkuta.ru,,,Республика Коми  Воркута  улица Ленина  дом 70
