Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
ТРАНСЭНЕРГО  торговая компания,0,,84852599429,, ,,,150539  Ярославль  поселок Лесная Поляна  дом 43
ЯРСКАН  официальный дилер Scania,0,,84852670555,,,,,150044  Ярославль  Осташинская улица  дом 6/34
АВТОДИЗЕЛЬ  оптовая компания,0,,84852672030,, ,http://vk.com/avtozapchasti76yar,,150044  Ярославль  улица Полушкина Роща  дом 16-К
РУМОТОРС,0,,88007770839,,b2b.rumotors.com,,,150044  Ярославль  улица Полушкина Роща  дом 16
BIG1  запчасти для иномарок,0,,88007770407,, ,https://vk.com/big1_zapchasti,,150044  Ярославль  улица Полушкина Роща  дом 16  лит И
ЯРСТРОЙИНВЕСТ СИТИ  торговая компания,0,https://wa.me/79038293131,,79038293131, ,,,150014  Ярославль  Рыбинская улица  дом 44-а
ЭСТЕТИКА  автотехцентр,0,,84852338008,, ,http://vk.com/gagarina48_yar,,150023  Ярославль  улица Гагарина  дом 48
HOWO-ЦЕНТР,0,https://wa.me/79106620553,,79106620553,89106620553.tt34.ru,,,150044  Ярославль  Промышленная улица  дом 24
ТРАКСЕРВИС  компания,0,,84852679555,,,,,150023  Ярославль  Московский проспект  дом 120-а
ЯМЗ,0,https://wa.me/79201128311,,79201128311,ymzmotors.ru,,,150000  Ярославль  улица Победы  дом 38/27
ГРУППА АВТОГАЗ  торговый дом,0,,84852670276,,tdgg.ru,,,150044  Ярославль  Промышленное шоссе  дом 47  в
АВТОКОМПЛЕКС ТЕЛЕГИНО  официальный дилер IVECO,0,https://wa.me/79301222202,,79301222202, ,http://vk.com/iveco76,,150521  Ярославская область  Ярославский район  поселок Нагорный  Дорожная улица  дом 10
ИНСЕМАКС ТРЕЙД  торговый дом,0,https://wa.me/79807432482,,79807432482,,,,150042  Ярославль  Ленинградский проспект  дом 35  корпус 1
МОТОРДЕТАЛЬ  торговый дом,0,,84852607379,, ,,,150044  Ярославль  Базовая улица  дом 3-в
HOWO +,0,,84852231353,, ,,,150006  Ярославль  Ярославская улица  дом 27
АВТОРАЙ  фирма по производству и продаже автозапчастей,0,,84852952527,, ,,,150044  Ярославль  проспект Октября  дом 86  а
АВТОМОТОР-ЗАПЧАСТЬ  торговая компания,0,,84852287051,, ,,,150044  Ярославль  Промышленная улица  дом 1  в
ФРЦ ЯМЗ 76,0,,84852284950,, ,,,150044  Ярославль  Промышленная улица  дом 18  в
ТИТАНАВТОУРИ,0,,84852663150,, ,http://vk.com/titan_avto_076,,150044  Ярославль  улица Урицкого  дом 44
ЯРМАЗ,0,,84852594041,,www.yarmaz.ru,,,150521  Ярославская область  Ярославский район  поселок Щедрино  Московская улица  дом 6-а
ЛУКОЙЛ-ВОЛГАНЕФТЕПРОДУКТ,0,,88001000911,,www.lukoil.ru,http://vk.com/lukoil,,150018  Ярославль  Тутаевское шоссе  дом 120
ЛУКОЙЛ-ВОЛГАНЕФТЕПРОДУКТ,0,,88001000911,,www.lukoil.ru,http://vk.com/lukoil,,150049  Ярославль  Мышкинский проезд  дом 4
РОСНЕФТЬ,0,,88002001070,, ,,,150042  Ярославль  Тутаевское шоссе  дом 9  а
ОПТИ  официальный партнер Газпром нефть,0,,84852593476,, ,http://vk.com/azsopti,,150510  Ярославская область  Ярославский район  поселок Кузнечиха  Промышленная улица  дом 5  а
ОПТИ  официальный партнер Газпром нефть,0,,84852593476,, ,http://vk.com/azsopti,,150060  Ярославль  Волгоградская улица  дом 48
ОПТИ  официальный партнер Газпром нефть,0,,84852593476,, ,http://vk.com/azsopti,,150002  Ярославль  Большая Федоровская улица  дом 119-в
РУСПЕТРОЛ,0,,84852281165,,www.ruspetrol.com,,,150064  Ярославль  Ленинградский проспект  дом 94
ЭНЕРДЖИ,0,https://wa.me/79019990626,,79019990626,,,,150060  Ярославль  Ленинградский проспект  дом 84  а
ПНСК-Ярославль  производственное объединение,0,,88002504835,,yaroslavl.pnsk-online.ru,,,150001  Ярославль  Малая Пролетарская улица  дом 18-а  офис 226
МАКС  торгово-сервисная компания,0,,84852585166,, ,,,150001  Ярославль  Малая Пролетарская улица  дом 18-а
РОСТ  производственная компания,0,,84852301445,, ,,,150003  Ярославль  проспект Ленина  дом 8-а
ЯРД  строительная компания,0,,84852584703,, ,,,150030  Ярославль  Московский проспект  дом 74
СПАРТАК  торговая компания,0,,84852307921,, ,,,150006  Ярославль  2-я Суворовская улица  дом 9-а
МЕЛСТОН-СЕРВИС,0,,88005555006,, ,,,150030  Ярославль  улица Журавлева  дом 3  офис 210  211
АЗС КОМПЛЕКТ  компания,0,,88005515022,,www.azsk74.ru,,,150044  Ярославль  Промышленная улица  дом 18-д
ДЖОКЕРавто,0,,88003016084,,pts.zaimpodolsk.ru,,,150047  Ярославль  Угличская улица  дом 39
МАЯК  автоломбард,0,,84852608551,, ,,,150044  Ярославль  проспект Октября  дом 90  офис 35  36
ГОСТ ЛОМБАРД,0,,88003336368,,ярославль.гостломбард.рф,https://vk.com/lombardgost,,150040  Ярославль  улица Победы  дом 38/27
АВТОЗАЙМ НА СОВЕТСКОЙ  автоломбард,0,,84852909014,, ,,,150003  Ярославль  Советская улица  дом 32
ИМПЕРИАЛ  автоломбард,0,,84852338177,,,,,150049  Ярославль  Большая Октябрьская улица  дом 124
АВТО-ФИНАНС  ломбард,0,,84852930555,,,,,150049  Ярославль  проспект Толбухина  дом 1-а
Ярославское ремонтное предприятие ЯМЗ,0,,84852336580,,ямз1.рф,,,Ярославль  Промышленное шоссе  дом 1-а
Станция Технического Обслуживания Fox,0,,84852953995,, ,,,Ярославль  Республиканская улица  дом 42/24
Автосервис Скорость,0,https://wa.me/79201089949,,79201089949,,,,Ярославль  Волгоградская улица  дом 44
Автотехтроник,0,,84852900535,, ,,,Ярославль  Ленинградский проспект  дом 27
СТО-62,0,,84852683062,,cto62.ru,,,Ярославль  Большая Федоровская улица  дом 62
У ТАРОНА  СТО,0,https://wa.me/79056375754,,79056375754, ,http://vk.com/club195683116,,150035  Ярославль  улица Расковой  дом 9  а
PRO BOX  студия автозвука,0,,84852333651,, ,http://vk.com/pro_box76,,150049  Ярославль  проспект Толбухина  дом 1  а
АВТОСВЕТ,0,https://wa.me/79610229626,,79610229626,avtosvet76.ru,,,150044  Ярославль  проспект Октября  дом 78-б
HI-FI АРСЕНАЛ  автостудия,0,https://wa.me/79106622348,,79106622348, ,https://vk.com/shymavto76,,150014  Ярославль  Угличская улица  дом 12
ДИКОН АВТО  установочный центр,0,,84852455577,, ,,,150030  Ярославль  Московский проспект  дом 129
