Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес,,
ВЭБ-ЛИЗИНГ,0,,88172560142,, ,,,160017  Вологда  улица Чехова  дом 27  помещение 15,,
"АВТОСИЛАЧ, торговый дом",0,,88172545343,, ,,,160019  Вологда  Красноармейская улица  дом 27  3 офис,,
"РЕГИОНМАЗСЕРВИС, торговая компания",0,,88172553373,, ,,,160029  Вологда  Машиностроительная улица  дом 12,,
"РОСИНТЕХ ГРУПП, компания",0,,88172264192,, ,,,160000  Вологда  улица Рубцова  дом 8,,
"АВТО КАЙЗЕР МАШИНЕН ГРУПП РУССЛАНД, интернет-магазин",0,,88172700031,, ,,,160009  Вологда  улица Мальцева  дом 52,,
РУСБИЗНЕСАВТО,0,,88005519865,,www.rbauto.ru,,sales@vologda.rbauto.ru,160009  Вологда  улица Мальцева  дом 52,,
"АВТОРАЗБОР 35, магазин автозапчастей",0,https://wa.me/79218304020,,79218304020, ,,,160000  Вологда  улица Воровского  дом 21-а,,
СДМ-КАРАТ,0,,88172216666,, ,,,Вологда  Северная улица  дом 44,,
"ТМЧ, магазин запчастей",0,,88172264488,, ,,,Вологда  улица Чернышевского  дом 131,,
"АВТОДРАЙВ, автотехцентр автомобилей",0,,88172299934,,,,,160002  Вологда  улица Гагарина  дом 80  Б,,
"ТРИЛОГ.RU, торгово-сервисная фирма",0,,88172267087,,treelog.ru,,vologda@treelog.ru,160028  Вологда  улица Гагарина  дом 89  к16,,
"КРЮК, автосервис",0,https://wa.me/79922888897,,79922888897,vk.com/club167233174,http://vk.com/club167233174,,Вологда  Козленская улица  дом 138  а,,
"ГРУЗОДЕТАЛЬ, компания по продаже запчастей для грузовых автомобилей и прицепов",0,,88172584235,, ,http://vk.com/gruzodetal35,,160014  Вологда  улица Саммера  дом 64,,
"АВТОСКЛАД ВОЛОГДА, компания",0,,88172586810,, ,http://vk.com/skladavto35,,160013  Вологда  улица Конева  дом 2,,
"АВТОТЕХСНАБ35, магазин автозапчастей",0,,88172503063,,,,,160019  Вологда  улица Чернышевского  дом 147,,
"ГИГАПАРТС, магазин запчастей",0,,88007002223,, ,,,Вологда  Железнодорожная улица  дом 44  а,,
"ФОРЕСТ-СЕРВИС ВОЛОГДА, магазин автозапчастей",0,,88004444305,, ,http://vk.com/forest_service,,160004  Вологда  Гончарная улица  дом 4-а  корпус 3,,
ПАРТНЕР-АВТО,0,,88172239793,,ressora74.ru,,ressora6@mail.ru,160014  Вологда  улица Саммера  дом 56,,
"ДИЗЕЛЬТРАК, компания по ремонту грузовых автомобилей и магазин автозапчастей",0,,88172508908,, ,,,Вологда  Северная улица  дом 27  ст1,,
"С-АВТО, магазин автозапчастей",0,,88172214858,,vk.com/s.auto.vologda,http://vk.com/s.auto.vologda,,160002  Вологда  Ленинградская улица  дом 128,,
